filename id formula
749-Ir8O24 749 Ir8O24
750-Ir4O12 750 Ir4O12
751-Ir3O9 751 Ir3O9
752-Ir2O6 752 Ir2O6
753-Ir8O24 753 Ir8O24
754-Ir4O12 754 Ir4O12
755-Ir6O18 755 Ir6O18
756-Ir16O48 756 Ir16O48
757-Ir2O6 757 Ir2O6
758-Ir2O6 758 Ir2O6
759-Ir6O18 759 Ir6O18
760-Ir2O6 760 Ir2O6
761-Ir8O24 761 Ir8O24
762-Ir40O120 762 Ir40O120
763-Ir4O12 763 Ir4O12
764-Ir2O6 764 Ir2O6
765-Ir16O48 765 Ir16O48
766-Ir4O12 766 Ir4O12
767-Ir16O48 767 Ir16O48
768-Ir6O18 768 Ir6O18
769-Ir4O12 769 Ir4O12
770-Ir2O6 770 Ir2O6
771-Ir4O12 771 Ir4O12
772-Ir4O12 772 Ir4O12
773-IrO3 773 IrO3
774-IrO3 774 IrO3
775-Ir4O12 775 Ir4O12
776-Ir4O12 776 Ir4O12
777-Ir9O27 777 Ir9O27
778-Ir6O18 778 Ir6O18
779-Ir6O18 779 Ir6O18
